Link,Цена,Пешком до метро,Станция метро,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Районы,Округа,В квартире есть,Залог,Срок аренды,Апартаменты,Кол-во комнат
https://www.cian.ru/rent/flat/302179139/,50000.0,20.0,Народное Ополчение,50.0,35.0,8.0,2.64,1.0,1.0,Косметический,1962.0,1-515,Панельный,'р-н Хорошево-Мневники',ЗАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,2
https://www.cian.ru/rent/flat/301908219/,70000.0,15.0,Первомайская,45.0,30.0,8.0,2.48,1.0,1.0,Евроремонт,1952.0,1-510,Блочный,Измайлово,ВАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",70000,от года,0,2
https://www.cian.ru/rent/flat/302166530/,50000.0,4.0,Бульвар Рокоссовского,23.0,10.0,3.0,2.75,1.0,0.0,Косметический,2020.0,Индивидуальный проект,Монолитный,Измайлово,ВАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Телевизор', 'Интернет', 'Ванна', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,студия
https://www.cian.ru/rent/flat/302166624/,50000.0,9.0,Улица Горчакова,67.0,39.0,12.0,2.64,1.0,2.0,Косметический,2001.0,П-30,Панельный,Краснопахорское,ЮЗАО,"['Холодильник', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,2
https://www.cian.ru/rent/flat/302165852/,50000.0,17.0,Речной вокзал,33.0,20.0,8.0,2.64,1.0,0.0,Евроремонт,1968.0,II-49,Панельный,Северное Медведково,СВАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Телевизор', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,1
https://www.cian.ru/rent/flat/301938631/,50000.0,10.0,Новые Черёмушки,43.0,22.0,10.0,2.64,1.0,1.0,Евроремонт,1996.0,П-44,Монолитный,Гагаринский,ЮЗАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,1
https://www.cian.ru/rent/flat/301886206/,50000.0,10.0,Бибирево,55.0,35.0,12.0,2.64,1.0,1.0,Евроремонт,2014.0,П-44,Панельный,Бибирево,СВАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,2
https://www.cian.ru/rent/flat/302139251/,45000.0,5.0,Юго-Восточная,40.0,20.0,10.0,2.64,1.0,1.0,Евроремонт,1998.0,КОПЭ,Панельный,Юго-Восточная,ЮВАО,"['Холодильник', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,1
https://www.cian.ru/rent/flat/301966970/,50000.0,4.0,Преображенская площадь,45.0,21.0,5.5,2.64,1.0,1.0,Косметический,1963.0,1-515,Панельный,Богородское,ВАО,"['Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,2
https://www.cian.ru/rent/flat/301720500/,45000.0,19.0,Аэропорт Внуково,34.0,23.0,5.0,2.7,1.0,0.0,Дизайнерский,2023.0,Индивидуальный проект,Панельный,Богородское,НАО (Новомосковский),"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Телевизор', 'Интернет', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,2
